# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.2500,7.9900,1.2981,1.2981
-0.2500,8.0900,1.2971,1.2971
-0.2500,8.1900,1.2540,1.2540
-0.3000,8.2900,1.2649,1.2649
-0.3000,8.3900,1.2369,1.2369
-0.3000,8.4900,1.2166,1.2166
-0.3000,8.5900,1.2042,1.2042
-0.3000,8.6900,1.2000,1.2000
-0.3000,8.7900,1.2042,1.2042
-0.3000,8.8900,1.2166,1.2166
-0.2500,8.9900,1.1885,1.1885
-0.2500,9.0900,1.2000,1.2000
-0.2500,9.1900,1.2000,1.2000
-0.2500,9.2900,1.2010,1.2010
-0.2500,9.3900,1.2093,1.2093
-0.2000,9.4900,1.1769,1.1769
-0.2000,9.5900,1.2000,1.2000
-0.1500,9.6900,1.1500,1.1500
-0.1500,9.7900,1.1500,1.1500
-0.1500,9.8900,1.1500,1.1500
-0.1500,9.9900,1.1500,1.1500
-0.1000,10.0900,1.1000,1.1000
-0.1000,10.1900,1.1000,1.1000
-0.0500,10.2900,1.0500,1.0500
-0.0500,10.3900,1.0548,1.0548
-0.0500,10.4900,1.0689,1.0689
-0.0500,10.5900,1.0920,1.0920
-0.0500,10.6900,1.1000,1.1000
-0.0500,10.7900,1.0920,1.0920
-0.0500,10.8900,1.0689,1.0689
0.0000,10.9900,1.0500,1.0500
0.0000,11.0900,1.0500,1.0500
0.0000,11.1900,1.0500,1.0500
0.0500,11.2900,1.0000,1.0000
0.0500,11.3900,1.0012,1.0012
0.0500,11.4900,1.0112,1.0112
0.0500,11.5900,1.0308,1.0308
0.0500,11.6900,1.0500,1.0500
0.0500,11.7900,1.0308,1.0308
0.0500,11.8900,1.0112,1.0112
0.0500,11.9900,1.0012,1.0012
0.1000,12.0900,1.0000,1.0000
0.1000,12.1900,1.0000,1.0000
0.1000,12.2900,1.0000,1.0000
0.1000,12.3900,1.0000,1.0000
0.1000,12.4900,0.9962,0.9962
0.1500,12.5900,0.9823,0.9823
