x,y,theta,velocitiess
4.724113001,-7.486803494,-1.356408623,3.158641277
4.738952856,-7.52937752,-1.368275174,3.173636198
4.753792711,-7.571951545,-1.380141725,3.188631118
4.768632566,-7.614525571,-1.392008276,3.203626038
4.783472421,-7.657099596,-1.403874827,3.218620958
4.798312276,-7.699673622,-1.415741379,3.233615879
4.813152131,-7.742247647,-1.42760793,3.248610799
4.827991985,-7.784821673,-1.439474481,3.263605719
4.84283184,-7.827395698,-1.451341032,3.278600639
4.857671695,-7.869969723,-1.463207583,3.29359556
4.87251155,-7.912543749,-1.475074134,3.30859048
4.887351405,-7.955117774,-1.486940685,3.3235854
4.898902763,-7.998376912,-1.497038731,3.338908589
4.902299005,-8.043335053,-1.502751074,3.355045846
4.905695248,-8.088293195,-1.508463417,3.371183104
4.909091491,-8.133251336,-1.514175761,3.387320361
4.912487734,-8.178209477,-1.519888104,3.403457619
4.915883977,-8.223167619,-1.525600448,3.419594876
4.91928022,-8.26812576,-1.531312791,3.435732134
4.922676463,-8.313083901,-1.537025134,3.451869391
4.926072706,-8.358042043,-1.542737478,3.468006649
4.929468949,-8.403000184,-1.548449821,3.484143906
4.932865192,-8.447958326,-1.554162164,3.500281164
4.936261435,-8.492916467,-1.559874508,3.516418421
4.939657678,-8.537874608,-1.565586851,3.532555679
4.94305392,-8.58283275,-1.571299195,3.548692936
