x,y,yaw,velocities
7.18,-13.2,1.570796327,3.515490134
7.18,-13.15,1.570796327,3.532729184
7.18,-13.1,1.570796327,3.549968233
7.18,-13.05,1.570796327,3.567207283
7.18,-13,1.570796327,3.584446333
7.18,-12.95,1.570796327,3.601685383
7.18,-12.9,1.570796327,3.618924432
7.18,-12.85,1.570796327,3.636163482
7.18,-12.8,1.570796327,3.653402532
7.18,-12.75,1.570796327,3.670641581
7.18,-12.7,1.570796327,3.687880631
7.18,-12.65,1.570796327,3.705119681
7.18,-12.6,1.570796327,3.72235873
7.18,-12.55,1.570796327,3.73959778
7.18,-12.5,1.570796327,3.75683683
7.18,-12.45,1.570796327,3.77407588
7.18,-12.4,1.570796327,3.791314929
7.18,-12.35,1.570796327,3.807961409
7.18,-12.3,1.570796327,3.824287208
7.18,-12.25,1.570796327,3.840613006
7.18,-12.2,1.570796327,3.856938804
7.18,-12.15,1.570796327,3.873264602
7.18,-12.1,1.570796327,3.889590401
7.18,-12.05,1.570796327,3.905916199
7.18,-12,1.570796327,3.922241997
7.18,-11.95,1.570796327,3.938567795
7.18,-11.9,1.570796327,3.954893594
7.18,-11.85,2.35619449,3.971219392
7.13,-11.8,1.570796327,3.98754519
7.13,-11.75,1.570796327,4.003870988
7.13,-11.7,1.570796327,4.020196787
7.13,-11.65,1.570796327,4.036522585
7.13,-11.6,1.570796327,4.052848383
7.13,-11.55,1.570796327,4.069174182
7.13,-11.5,1.570796327,4.08549998
7.13,-11.45,1.570796327,4.101825778
7.13,-11.4,1.570796327,4.118151576
7.13,-11.35,1.570796327,4.134477375
7.13,-11.3,1.570796327,4.150803173
7.13,-11.25,1.570796327,4.165886971
7.13,-11.2,1.570796327,4.180107891
7.13,-11.15,1.570796327,4.194328812
7.13,-11.1,1.570796327,4.208549732
7.13,-11.05,1.570796327,4.222770652
7.13,-11,1.570796327,4.236991573
7.13,-10.95,1.570796327,4.251212493
7.13,-10.9,1.570796327,4.265433414
7.13,-10.85,1.570796327,4.279654334
7.13,-10.8,1.570796327,4.293875255
7.13,-10.75,1.570796327,4.308096175
7.13,-10.7,1.570796327,4.322317096
7.13,-10.65,1.570796327,4.336538016
7.13,-10.6,1.570796327,4.350758936
7.13,-10.55,1.570796327,4.364979857
7.13,-10.5,1.570796327,4.379200777
7.13,-10.45,1.570796327,4.393421698
7.13,-10.4,1.570796327,4.407642618
7.13,-10.35,1.570796327,4.421863539
7.13,-10.3,1.570796327,4.436084459
7.13,-10.25,1.570796327,4.45030538
7.13,-10.2,1.570796327,4.4645263
7.13,-10.15,1.570796327,4.477608612
7.13,-10.1,1.570796327,4.489560981
7.13,-10.05,1.570796327,4.50151335
7.13,-10,1.570796327,4.513465718
7.13,-9.95,1.570796327,4.525418087
7.13,-9.9,1.570796327,4.537370456
7.13,-9.85,1.570796327,4.549322825
7.13,-9.8,1.570796327,4.561275194
7.13,-9.75,1.570796327,4.573227563
7.13,-9.7,1.570796327,4.585179931
7.13,-9.65,1.570796327,4.5971323
7.13,-9.6,1.570796327,4.609084669
7.13,-9.55,1.570796327,4.621037038
7.13,-9.5,1.570796327,4.632989407
7.13,-9.45,1.570796327,4.644941776
7.13,-9.4,1.570796327,4.656894144
7.13,-9.35,1.570796327,4.668846513
7.13,-9.3,2.35619449,4.680798882
7.08,-9.25,1.570796327,4.692751251
7.08,-9.2,1.570796327,4.70470362
7.08,-9.15,1.570796327,4.716655989
7.08,-9.1,1.570796327,4.728608357
7.08,-9.05,1.570796327,4.739585015
7.08,-9,1.570796327,4.749349225
7.08,-8.95,1.570796327,4.759113436
7.08,-8.9,1.570796327,4.768877647
7.08,-8.85,1.570796327,4.778641857
7.08,-8.8,1.570796327,4.788406068
7.08,-8.75,1.570796327,4.798170278
7.08,-8.7,1.570796327,4.807934489
7.08,-8.65,1.570796327,4.8176987
7.08,-8.6,1.570796327,4.82746291
7.08,-8.55,1.570796327,4.837227121
7.08,-8.5,1.570796327,4.846991332
7.08,-8.45,1.570796327,4.856755542
7.08,-8.4,1.570796327,4.866519753
7.08,-8.35,1.570796327,4.876283963
7.08,-8.3,1.570796327,4.886048174
7.08,-8.25,1.570796327,4.895812385
7.08,-8.2,1.570796327,4.905576595
7.08,-8.15,1.570796327,4.915340806
7.08,-8.1,1.570796327,4.925105017
7.08,-8.05,1.570796327,4.934869227
7.08,-8,1.570796327,4.944633438
7.08,-7.95,1.570796327,4.953565307
7.08,-7.9,1.570796327,4.961375662
7.08,-7.85,1.570796327,4.969186016
7.08,-7.8,2.35619449,4.976996371
7.03,-7.75,1.570796327,4.984806726
7.03,-7.7,1.570796327,4.99261708
7.03,-7.65,1.570796327,5.000427435
7.03,-7.6,1.570796327,5.00823779
7.03,-7.55,1.570796327,5.016048144
7.03,-7.5,1.570796327,5.023858499
7.03,-7.45,1.570796327,5.031668854
7.03,-7.4,1.570796327,5.039479209
7.03,-7.35,1.570796327,5.047289563
7.03,-7.3,1.570796327,5.055099918
7.03,-7.25,1.570796327,5.062910273
7.03,-7.2,1.570796327,5.070720627
7.03,-7.15,1.570796327,5.078530982
